Frequency,Freq_err,Aij,E_L,E_U,gu,Transition
87.28415600,3.0E-6,-6.42627,0.00216,4.19111,3.00000,1-0
87.31692500,4.0E-6,-5.65605,0.00216,4.19269,5.00000,1-0
87.32862400,6.0E-6,-5.73675,0.00000,4.19109,3.00000,1-0
87.40200400,5.0E-6,-5.73568,0.00216,4.19677,3.00000,1-0
87.40716500,1.1E-5,-5.65473,0.00216,4.19702,1.00000,1-0
87.44651200,2.3E-5,-6.42386,0.00000,4.19675,3.00000,1-0
174.66322200,8.0E-6,-4.67359,4.19272,12.57518,7.00000,2-1
174.66768500,1.7E-5,-4.70605,4.19113,12.57381,5.00000,2-1
174.72177700,2.6E-5,-4.77621,4.19674,12.58202,5.00000,2-1
174.72810000,4.0E-5,-4.92834,4.19703,12.58261,3.00000,2-1
174.73319490,1.13E-5,-5.13413,4.19674,12.58257,3.00000,2-1
174.80682720,1.14E-5,-5.41350,4.19272,12.58207,5.00000,2-1
262.00422660,3.07E-5,-4.11528,12.57513,25.14927,9.00000,3-2
262.00640340,3.06E-5,-4.13213,12.57369,25.14794,7.00000,3-2
262.06484330,3.14E-5,-4.15212,12.58203,25.15909,7.00000,3-2
262.06733120,3.13E-5,-4.19069,12.58261,25.15978,5.00000,3-2
262.07877580,3.17E-5,-5.06197,12.58203,25.15976,5.00000,3-2
262.20843880,3.5E-5,-5.24319,12.57513,25.15907,7.00000,3-2
349.33745580,8.15E-5,-3.72468,25.14924,41.91470,11.00000,4-3
349.33872840,8.14E-5,-3.73493,25.14795,41.91347,9.00000,4-3
349.39890610,8.21E-5,-3.74323,25.15903,41.92744,9.00000,4-3
349.40029180,8.2E-5,-3.76139,25.15975,41.92822,7.00000,4-3
